video_id,publish_time,channel_id,title,description,channel_name,tags,category_id,live_status,local_title,local_description,duration,dimension,definition,caption,license_status,allowed_region,blocked_region,upload_status,privacy_status,license,embeddable,made_for_kids,view,like,dislike,favorite,comment,trending_time,category_name,region_id,region_name,hour_in_day,day_in_week
Dlfp3K11C_o,2022-05-24T02:14:08Z,UCSB5FOwUVnAhGo_o99IhxYA,[토르: 러브 앤 썬더] 메인 예고편,"얘들아, 팝콘 준비했지? 🍿

""이 이야기의 주인공은 우주의 한 바이킹이야
토르 오딘슨...""

[토르: 러브 앤 썬더] 메인 예고편 대공개! ❤️+⚡️

#마블 #러브앤썬더 #토르_러브앤썬더 #토르4 #7월대개봉
#타이카와이티티 감독 #크리스헴스워스 #나탈리포트만 #테사톰슨 #크리스찬베일 #크리스프랫

■ 마블 코리아 구독하기
https://www.youtube.com/user/MarvelKorea

* 페이스북 : https://www.facebook.com/marvel.kr
* 인스타그램 : https://www.instagram.com/marvelkorea (@marvelkorea)
* 홈페이지 : http://www.disney.co.kr",MarvelKorea,"['마블', 'marvel', 'marvelkorea', '마블 영화', '마블 예고편', '예고편', 'trailer', '마블 ost', '마블 히어로', '마블 명장면', '마블 만화', '마블총정리', '아이언맨', '캡틴아메리카', '엔드게임', '닥터스트레인지', '앤트맨', '블랙위도우', '어벤져스', 'marvel studio']",24,none,[토르: 러브 앤 썬더] 메인 예고편,"얘들아, 팝콘 준비했지? 🍿

""이 이야기의 주인공은 우주의 한 바이킹이야
토르 오딘슨...""

[토르: 러브 앤 썬더] 메인 예고편 대공개! ❤️+⚡️

#마블 #러브앤썬더 #토르_러브앤썬더 #토르4 #7월대개봉
#타이카와이티티 감독 #크리스헴스워스 #나탈리포트만 #테사톰슨 #크리스찬베일 #크리스프랫

■ 마블 코리아 구독하기
https://www.youtube.com/user/MarvelKorea

* 페이스북 : https://www.facebook.com/marvel.kr
* 인스타그램 : https://www.instagram.com/marvelkorea (@marvelkorea)
* 홈페이지 : http://www.disney.co.kr",145,2d,hd,false,True,,,processed,public,youtube,True,False,926172,18710,0,0,2594,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,2,Tuesday
NtADJUSkZj4,2022-05-23T10:30:04Z,UChI3EXzhAkRszawlMageKvQ,손흥민 아버님...월드클래스 맞는거 같습니다..(손흥민 득점왕 반응 모음ㅋㅋㅋ),,리춘수 [이천수],,17,none,손흥민 아버님...월드클래스 맞는거 같습니다..(손흥민 득점왕 반응 모음ㅋㅋㅋ),,236,2d,hd,false,True,,,processed,public,youtube,True,False,1069532,13239,0,0,666,2022-05-24 15:31:43.836456+00:00,Sports,KR,South Korea,10,Monday
hfVeRd9aDrM,2022-05-23T11:07:37Z,UCKuwp52MjSk-zeFRpchSheg,[젭소드🎬] 걸음걸이부터 살벌한 욕까지 진짜 조폭 같은 손석구 양아치 연기｜나의 해방일지｜JTBC 220521 방송,"[젭소드🎬：미쳐버린 연기력 모음]

걸음걸이부터 살벌한 욕까지 진짜 조폭 같은 손석구 양아치 연기

#드라마봐야지 #나의해방일지 #손석구

[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Hd3sRqnnPvcC​

------------------------------------------------------
📌 영상 속 프로그램은?

【나의 해방일지｜My Liberation Notes】 
https://tv.jtbc.joins.com/myliberationnotes
------------------------------------------------------",DRAMA Voyage,"['genre:가족', 'format:큐레이션', 'type:방송', 'series:나의해방일지', 'topic:등장인물', 'person:손석구', 'person:김민송', '나의 해방일지', '나의해방일지', '나의 해방일지 김지원', '나의 해방일지 손석구', '김지원', '이민기', '이엘', '손석구', '김지원 드라마', '김지원 나의 해방일지', '드라마 해방일지', '손석구 드라마', '나의 해방일지 하이라이트', '손석구 연기', '나의 해방일지 백화점', '손석구 양아치', '손석구 백화점', '손석구 명대사', '손석구 명장면', '나의 해방일지 예고', '나의 해방일지 다시보기', '나의 해방일지13', '나의 해방일지14', '나의 해방일지 명대사', '나의 해방일지 명장면', '구씨', '나의 해방일지 구씨', '나의 해방일지 구자경', '강해상', '손석구 강해상', '손석구 구자경', '범죄도시2', '범죄도시 손석구', '손석구 범죄도시', '나의 해방일지 리뷰', '드라마봐야지', 'JTBC드라마', 'JTBC', 'KDRAMA', 'KOREADRAMA', 'voyage', 'drama voyage']",24,none,[젭소드🎬] 걸음걸이부터 살벌한 욕까지 진짜 조폭 같은 손석구 양아치 연기｜나의 해방일지｜JTBC 220521 방송,"[젭소드🎬：미쳐버린 연기력 모음]

걸음걸이부터 살벌한 욕까지 진짜 조폭 같은 손석구 양아치 연기

#드라마봐야지 #나의해방일지 #손석구

[JTBC 드라마봐야지] 구독하기☞ http://asq.kr/Hd3sRqnnPvcC​

------------------------------------------------------
📌 영상 속 프로그램은?

【나의 해방일지｜My Liberation Notes】 
https://tv.jtbc.joins.com/myliberationnotes
------------------------------------------------------",215,2d,hd,false,True,['KR'],,processed,public,youtube,True,False,613251,6192,0,0,591,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,11,Monday
4BaU2fJmLj4,2022-05-23T10:40:44Z,UCYRrUD5v5j_Ei8sKOo7mhoQ,[직캠] ’골든 부트‘ 손흥민이 신던 축구화 던지면 이런 일이 벌어진다 (feat. 손웅정 아버님),"손흥민 선수가 리그 최종전에서 2골을 추가하며 23골로 리버풀 살라와 공동 득점왕을 차지했습니다. 아시아 선수가 유럽 빅리그에서 득점왕에 오른 건 손흥민이 처음입니다. 4년 전 손흥민 아버지 손웅정 씨는 아들이 아직 월드클래스가 아니라며 더 정진해야 한다고 말했는데요. 아버지 당부대로 매년 발전을 거듭한 손흥민은 페널티킥 골 하나 없이 프리미어리그 득점왕에 등극하며 이제 월드클래스 반열에 당당히 올라섰습니다. 매데투의 윤웅진 통신원이 영국 현지에서 전해온 생생한 손흥민 득점왕 현장 소식과 직캠 영상 확인하시죠.

매데투 matchdaytour
▶https://www.youtube.com/c/matchdaytour

#손흥민 #득점왕 #토트넘",엠빅뉴스,"['손흥민골', '23호골', '살라', '골든부츠', '시상식', '노리치', '노리치시티', '라커룸', '트로피', '손웅정', '월드클래스', '손흥민아버지']",25,none,[직캠] ’골든 부트‘ 손흥민이 신던 축구화 던지면 이런 일이 벌어진다 (feat. 손웅정 아버님),"손흥민 선수가 리그 최종전에서 2골을 추가하며 23골로 리버풀 살라와 공동 득점왕을 차지했습니다. 아시아 선수가 유럽 빅리그에서 득점왕에 오른 건 손흥민이 처음입니다. 4년 전 손흥민 아버지 손웅정 씨는 아들이 아직 월드클래스가 아니라며 더 정진해야 한다고 말했는데요. 아버지 당부대로 매년 발전을 거듭한 손흥민은 페널티킥 골 하나 없이 프리미어리그 득점왕에 등극하며 이제 월드클래스 반열에 당당히 올라섰습니다. 매데투의 윤웅진 통신원이 영국 현지에서 전해온 생생한 손흥민 득점왕 현장 소식과 직캠 영상 확인하시죠.

매데투 matchdaytour
▶https://www.youtube.com/c/matchdaytour

#손흥민 #득점왕 #토트넘",287,2d,hd,false,True,['KR'],,processed,public,youtube,True,False,1781000,15893,0,0,2300,2022-05-24 15:31:43.836456+00:00,News & Politics,KR,South Korea,10,Monday
kAUYTpwc1Ns,2022-05-23T12:21:51Z,UCw1DsweY9b2AKGjV4kGJP1A,G2 vs. T1 매치 하이라이트 | 05.23 Rumble Stage Day 4 | 2022 MSI,"#2022MSI #LCKWIN #T1WIN #LCK #WeMakeLegends

■LIVE & LIVE VOD
- 네이버: https://sports.news.naver.com/esports/index.nhn
- 아프리카TV: http://bj.afreecatv.com/aflol
- 트위치: https://www.twitch.tv/lck_korea
- 아프리카TV (케이블TV)

■ LCK 채널 구독 및 좋아요!
- LoL e스포츠 홈페이지:  https://lolesports.com/
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 에셋으로, 무단으로 위 아티클을 무단 복제, 도용하거나 상업적으로 이용하는 행위는 위 권리들에 대한 침해에 해당하여 관련 법규에 의거 처벌될 수 있음을 안내드립니다.",LCK,"['LCK', 'LCK Korea', '롤챔스', '티원', '에욱', 'SNL', 'LCK썸네일', '편집자', '스크', 'T1', 'SKT', 'skt', 't1', '썸네일', 'DK', 'GEN', 'DRX', 'KT', 'HLE', 'POG', 'MVP', 'WORLDS', '롤드컵', 'MSI', 'ALLSTAR', 'lck 서머', 'lck 썸머', 'lck 써머', 'lck 스프링', 'lck summer', 'lck spring', 'LSB', 'Liiv Sandbox', 'NS', 'Nongshim Red force', '한화생명', '농심', '케이티', '젠지', '아프리카', '담원', '프레딧 브리온', 'Fredit Brion', 'BRO', '므시', '올스타', '매드무비', '위클리 코맨터리', 'MIC Check', 'MIC 첵', '롤분토론', '동준좌', '클템', '성캐', '위클리 매드무비', '전프시', '오프더레코드', 'Worlds2021', '월즈2021', '월드챔피언십', '2021 월드 챔피언십', '단톡', '롤더넥', '마이크체크', '광동', '광동프릭스', 'KDF', 'Kwangdong Freecs', '베스트모먼트', '핵가족', '뉴클리어', '롤리나잇', '레알클래스', '성캐쇼', 'LCK10주년', '2022 MSI', '부산', '부산 MSI']",20,none,G2 vs. T1 매치 하이라이트 | 05.23 Rumble Stage Day 4 | 2022 MSI,"#2022MSI #LCKWIN #T1WIN #LCK #WeMakeLegends

■LIVE & LIVE VOD
- 네이버: https://sports.news.naver.com/esports/index.nhn
- 아프리카TV: http://bj.afreecatv.com/aflol
- 트위치: https://www.twitch.tv/lck_korea
- 아프리카TV (케이블TV)

■ LCK 채널 구독 및 좋아요!
- LoL e스포츠 홈페이지:  https://lolesports.com/
- LCK 공식 페이스북:  https://www.facebook.com/officiallck
- LCK 공식 인스타그램:  https://www.instagram.com/lckofficial/
- LCK 공식 틱톡 : https://tiktok.com/@lck_official
- LCK 공식 트위터 (영문):  https://twitter.com/LCK

* LCK 채널의 모든 영상은 라이엇 게임즈 코리아의 에셋으로, 무단으로 위 아티클을 무단 복제, 도용하거나 상업적으로 이용하는 행위는 위 권리들에 대한 침해에 해당하여 관련 법규에 의거 처벌될 수 있음을 안내드립니다.",738,2d,hd,false,True,,,processed,public,youtube,True,False,702714,,0,0,2148,2022-05-24 15:31:43.836456+00:00,Gaming,KR,South Korea,12,Monday
2c5qqx8KVcU,2022-05-23T09:45:00Z,UCHlSeJxRIXZWMARC2oMwmcQ,[사랑의 가족] 위풍당당 은혜 씨의 '인생은 아름다워' KBS 190509 방송,"캐리커처 작가 정은혜 씨
어디에서든 당당한 그녀의 일상을 만나본다

#정은혜 #우리들의블루스 #한지민 #캐리커쳐  #작가 #배우 #사랑의가족",KBS 교양,"['KBS', 'KBS1', 'KBS2', 'KBS교양', 'KBS다큐', '한국방송', 'korea', 'south', 'life', 'documentary', '우리들의 블루스', '우블', '한지민 언니', '다운증후군', '정은혜 작가', '정은혜', '캐리커쳐 작가', '배우']",24,none,[사랑의 가족] 위풍당당 은혜 씨의 '인생은 아름다워' KBS 190509 방송,"캐리커처 작가 정은혜 씨
어디에서든 당당한 그녀의 일상을 만나본다

#정은혜 #우리들의블루스 #한지민 #캐리커쳐  #작가 #배우 #사랑의가족",1471,2d,hd,false,True,,,processed,public,youtube,True,False,1236803,10535,0,0,886,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,9,Monday
dTfGsG7_1tk,2022-05-23T07:00:10Z,UCS_hnpJLQTvBkqALgapi_4g,[안방1열 직캠4K] 르세라핌 'FEARLESS' 풀캠 (LE SSERAFIM Full Cam)│@SBS Inkigayo_2022.05.22.,"[안방1열 직캠4K] 르세라핌 'FEARLESS' 풀캠 (LE SSERAFIM Full Cam)│@SBS Inkigayo_2022.05.22.

#인기가요 #르세라핌 #FEARLESS
---------------------------------------------------------------------------------------—

☞ MORE ＂SBS KPOP＂

Twitter : https://twitter.com/kpop_sbs
Facebook : https://www.facebook.com/sbskpop
Instagram : https://instagram.com/sbskpop_official",스브스케이팝 / SBS KPOP,"['Inkigayo', '인기가요직캠', '안방1열직캠', '스브스케이팝', '스브스 직캠', '인기가요', '인가', '음방', '음악방송', '르세라핌', 'LE SSERAFIM', 'Blue Flame', '르세라핌 데뷔', '르세라핌 하이브', '르세라핌 무대', '르세라핌 인기가요', '르세라핌 직캠', '르세라핌 페이스캠', '하이브', '사쿠라', '김채원', '허윤진', '카즈하', '김가람', '홍은채', 'SAKURA', 'KIM CHAEWON', 'HUH YUNJIN', 'KAZUHA', 'KIM GARAM', 'HONG EUNCHAE']",24,none,[안방1열 직캠4K] 르세라핌 'FEARLESS' 풀캠 (LE SSERAFIM Full Cam)│@SBS Inkigayo_2022.05.22.,"[안방1열 직캠4K] 르세라핌 'FEARLESS' 풀캠 (LE SSERAFIM Full Cam)│@SBS Inkigayo_2022.05.22.

#인기가요 #르세라핌 #FEARLESS
---------------------------------------------------------------------------------------—

☞ MORE ＂SBS KPOP＂

Twitter : https://twitter.com/kpop_sbs
Facebook : https://www.facebook.com/sbskpop
Instagram : https://instagram.com/sbskpop_official",188,2d,hd,false,True,,['JP'],processed,public,youtube,True,False,1262609,52664,0,0,3763,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,7,Monday
3kMac_kdixk,2022-05-23T06:26:01Z,UCsjD7wxKCD8C62_idZQdGJg,[Be Mbitious/1회 선공개] 'Hey Mama' 안무 카피 미션 (홀리뱅 ver.) l 내일(5/24) 밤 10시 20분 첫.방.송#비엠비셔스,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

[Be Mbitious/1회 선공개] 'Hey Mama' 안무 카피 미션 (홀리뱅 ver.) l 내일(5/24) 밤 10시 20분 첫.방.송

솔로 댄서들이여, 크루를 가져라!

SMF 엠비셔스 크루원 선발전
MAN in the CREW
〈Be Mbitious(비 엠비셔스)〉

5월 24일 (화) - 5월 25일 (수)
밤 10시 20분 1,2회 연속방송

#BeMbtious #비엠비셔스 #스트릿맨파이터 #스맨파 #SMF #STREETMANFIGHTER #비 #RAIN #홀리뱅 #HolyBang #엠비셔스 #Mbitious #Mnet #엠넷 #DANCE #댄스

#티빙에서스트리밍",The CHOOM (더 춤),"['Be Mbitious', 'Mbitious', 'Mnet', 'RAIN', 'SMF', 'STREET MAN FIGHTER', 'STREET WOMAN FIGHTER', 'SWF', '비', '비 엠비셔스', '스맨파', '스우파', '스트릿 맨 파이터', '스트릿 우먼 파이터', '엠넷', '엠비셔스', '티빙에서스트리밍']",24,none,[Be Mbitious/1회 선공개] 'Hey Mama' 안무 카피 미션 (홀리뱅 ver.) l 내일(5/24) 밤 10시 20분 첫.방.송#비엠비셔스,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6f

[Be Mbitious/1회 선공개] 'Hey Mama' 안무 카피 미션 (홀리뱅 ver.) l 내일(5/24) 밤 10시 20분 첫.방.송

솔로 댄서들이여, 크루를 가져라!

SMF 엠비셔스 크루원 선발전
MAN in the CREW
〈Be Mbitious(비 엠비셔스)〉

5월 24일 (화) - 5월 25일 (수)
밤 10시 20분 1,2회 연속방송

#BeMbtious #비엠비셔스 #스트릿맨파이터 #스맨파 #SMF #STREETMANFIGHTER #비 #RAIN #홀리뱅 #HolyBang #엠비셔스 #Mbitious #Mnet #엠넷 #DANCE #댄스

#티빙에서스트리밍",61,2d,hd,false,True,['KR'],,processed,public,youtube,True,False,349947,6661,0,0,436,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,6,Monday
9afOTHfg4zg,2022-05-23T11:00:04Z,UCvAewWPqooIUgQUsjhTmUVw,방송국 대기실에는 어떤 간식이 있을까?🍬 프로그램별 대기실 간식 리뷰🍭,"#숙이로그 #대기실 #먹방

───────────────
촬영 전 에너지 충전에는 뭐다? 바로 대기실 간식!
제작진들이 준비해주는 맛있는 전투 식량 덕분에
항상 힘내서 촬영할 수 있다는 사실😻",김숙티비kimsookTV,"['김숙', 'kimsook', '갓숙', '비보티비', '비밀보장', '金淑', 'comedian', '숙티비', '김숙유튜브', '캠핑', '과자추천', '간식추천', '탕비실', '탕비실과자', '대기실', '비하인드', '대기실 먹방', '대식좌', '소식좌', '구해줘홈즈', '연애의참견', '놀면뭐하니', 'WGS워너비', '엘레나', '심야괴담회', '샌드위치', '커피', '동상이몽', '사장님 귀는 당나귀 귀', '톡파원25시', '방송국', '방송국vlog', '간식리뷰', '과자리뷰']",24,none,방송국 대기실에는 어떤 간식이 있을까?🍬 프로그램별 대기실 간식 리뷰🍭,"#숙이로그 #대기실 #먹방

───────────────
촬영 전 에너지 충전에는 뭐다? 바로 대기실 간식!
제작진들이 준비해주는 맛있는 전투 식량 덕분에
항상 힘내서 촬영할 수 있다는 사실😻",616,2d,hd,true,True,,,processed,public,youtube,True,False,318623,7333,0,0,375,2022-05-24 15:31:43.836456+00:00,Entertainment,KR,South Korea,11,Monday
XTsdPeUKlZg,2022-05-21T11:12:10Z,UCR5cyf8hncN_AaQPfmvmlgA,"윤하 - 스물다섯, 스물하나 [불후의 명곡2 전설을 노래하다/Immortal Songs 2] | KBS 220521 방송","윤하 - 스물다섯, 스물하나

#윤하 #스물다섯 #스물하나 #리메이크 #음악예능 #노래대결 #전설 #세대공감 #가요 #추억 #명곡 #불후의명곡2전설을노래하다 #ImmortalSongs2 

----------------------------------------------
        ▶ Homepage : https://www.kbs.co.kr/
        ▶ Wavve : https://www.wavve.com/
        ▶ Youtube : https://www.youtube.com/KBSEntertain
----------------------------------------------",KBS 레전드 케이팝,"['윤하', '스물다섯', '스물하나', '리메이크', '음악예능', '노래대결', '전설', '세대공감', '가요', '추억', '명곡']",10,none,"윤하 - 스물다섯, 스물하나 [불후의 명곡2 전설을 노래하다/Immortal Songs 2] | KBS 220521 방송","윤하 - 스물다섯, 스물하나

#윤하 #스물다섯 #스물하나 #리메이크 #음악예능 #노래대결 #전설 #세대공감 #가요 #추억 #명곡 #불후의명곡2전설을노래하다 #ImmortalSongs2 

----------------------------------------------
        ▶ Homepage : https://www.kbs.co.kr/
        ▶ Wavve : https://www.wavve.com/
        ▶ Youtube : https://www.youtube.com/KBSEntertain
----------------------------------------------",343,2d,hd,false,True,,,processed,public,youtube,True,False,580639,26487,0,0,1100,2022-05-24 15:31:43.836456+00:00,Music,KR,South Korea,11,Saturday
